round,client_0,client_1,client_2
1,0.06169975736323977,0.14856565625267104,0.001996571274269627
2,0.018259514106437565,0.051097878347383816,1.3542288349754017e-05
3,0.01151571941479051,0.033192160936305296,7.189368742956504e-06
4,0.00790919339078391,0.023766662877664203,4.933138144593841e-06
5,0.00541776132675659,0.01754262337523687,3.123219557977564e-06
6,0.0037866359060008104,0.012997601017872512,1.798908460415305e-06
7,0.0026801225068070382,0.009634837751204032,1.0585406101633055e-06
8,0.001871231767462177,0.007063273228821344,6.433066905353612e-07
9,0.0013361191479465333,0.005168571563441219,4.051506355590151e-07
10,0.000996085280270961,0.003818579614129703,2.6891689848462797e-07
